task,metric_group,metric,ResNet18,ResNet34,ResNet50,EfficientNet-b0,VGG16,ViT
binary,overall,accuracy,90.89,88.66,90.48,89.43,89.27,84.82
binary,macro,precision,79.74,75.00,79.54,76.66,76.39,69.35
binary,macro,sensitivity,80.14,78.86,75.91,76.66,73.89,76.65
binary,macro,specificity,80.14,78.86,75.91,76.66,73.89,76.65
binary,macro,f1_score,79.94,76.70,77.55,76.66,75.04,71.89
binary,micro,precision,90.89,88.66,90.48,89.47,89.27,84.82
binary,micro,sensitivity,90.89,88.66,90.48,89.47,89.27,84.82
binary,micro,specificity,90.89,88.66,90.48,89.47,89.27,84.82
binary,micro,f1_score,90.89,88.66,90.48,89.47,89.27,84.82
binary,class_normal,precision,94.87,94.74,93.62,93.95,93.13,94.49
binary,class_normal,sensitivity,94.65,92.09,95.58,93.95,94.65,87.67
binary,class_normal,specificity,65.62,65.62,56.26,59.37,53.12,65.62
binary,class_normal,f1_score,94.76,93.40,94.59,93.95,93.89,90.95
binary,class_abnormal,precision,64.61,55.26,65.45,59.37,59.65,44.21
binary,class_abnormal,sensitivity,65.62,65.62,56.26,59.37,53.12,65.62
binary,class_abnormal,specificity,94.65,92.09,95.58,93.95,94.65,87.67
binary,class_abnormal,f1_score,65.12,60.00,60.50,59.37,56.20,52.83
binary,overall,auc,0.91,0.90,0.90,0.90,0.87,0.88
