model,task,group,metric,value
yolo26m,binary,overall,accuracy,93.32
yolo26m,binary,macro,precision,87.31
yolo26m,binary,macro,sensitivity,81.79
yolo26m,binary,macro,specificity,81.79
yolo26m,binary,macro,f1_score,84.24
yolo26m,binary,macro,auc,0.87
yolo26m,binary,micro,precision,93.32
yolo26m,binary,micro,sensitivity,93.32
yolo26m,binary,micro,specificity,93.32
yolo26m,binary,micro,f1_score,93.32
yolo26m,binary,class_abnormal,precision,79.63
yolo26m,binary,class_abnormal,sensitivity,66.15
yolo26m,binary,class_abnormal,specificity,97.44
yolo26m,binary,class_abnormal,f1_score,72.27
yolo26m,binary,class_abnormal,auc,0.87
yolo26m,binary,class_normal,precision,95.0
yolo26m,binary,class_normal,sensitivity,97.44
yolo26m,binary,class_normal,specificity,66.15
yolo26m,binary,class_normal,f1_score,96.2
yolo26m,binary,class_normal,auc,0.87
yolo26m,one_stage,overall,accuracy,90.69
yolo26m,one_stage,macro,precision,77.13
yolo26m,one_stage,macro,sensitivity,69.57
yolo26m,one_stage,macro,specificity,89.92
yolo26m,one_stage,macro,f1_score,71.46
yolo26m,one_stage,macro,auc,0.93
yolo26m,one_stage,micro,precision,90.69
yolo26m,one_stage,micro,sensitivity,90.69
yolo26m,one_stage,micro,specificity,90.69
yolo26m,one_stage,micro,f1_score,90.69
yolo26m,one_stage,class_normal,precision,94.75
yolo26m,one_stage,class_normal,sensitivity,96.74
yolo26m,one_stage,class_normal,specificity,64.62
yolo26m,one_stage,class_normal,f1_score,95.73
yolo26m,one_stage,class_normal,auc,0.92
yolo26m,one_stage,class_opmd,precision,55.88
yolo26m,one_stage,class_opmd,sensitivity,76.0
yolo26m,one_stage,class_opmd,specificity,96.8
yolo26m,one_stage,class_opmd,f1_score,64.41
yolo26m,one_stage,class_opmd,auc,0.97
yolo26m,one_stage,class_oral_cancer,precision,100.0
yolo26m,one_stage,class_oral_cancer,sensitivity,75.0
yolo26m,one_stage,class_oral_cancer,specificity,100.0
yolo26m,one_stage,class_oral_cancer,f1_score,85.71
yolo26m,one_stage,class_oral_cancer,auc,1.0
yolo26m,one_stage,class_variation,precision,57.89
yolo26m,one_stage,class_variation,sensitivity,30.56
yolo26m,one_stage,class_variation,specificity,98.25
yolo26m,one_stage,class_variation,f1_score,40.0
yolo26m,one_stage,class_variation,auc,0.83
yolo26m,stage2,overall,accuracy,84.62
yolo26m,stage2,macro,precision,89.62
yolo26m,stage2,macro,sensitivity,80.89
yolo26m,stage2,macro,specificity,89.45
yolo26m,stage2,macro,f1_score,84.47
yolo26m,stage2,macro,auc,0.94
yolo26m,stage2,micro,precision,84.62
yolo26m,stage2,micro,sensitivity,84.62
yolo26m,stage2,micro,specificity,84.62
yolo26m,stage2,micro,f1_score,84.62
yolo26m,stage2,class_opmd,precision,86.36
yolo26m,stage2,class_opmd,sensitivity,76.0
yolo26m,stage2,class_opmd,specificity,92.5
yolo26m,stage2,class_opmd,f1_score,80.85
yolo26m,stage2,class_opmd,auc,0.91
yolo26m,stage2,class_oral_cancer,precision,100.0
yolo26m,stage2,class_oral_cancer,sensitivity,75.0
yolo26m,stage2,class_oral_cancer,specificity,100.0
yolo26m,stage2,class_oral_cancer,f1_score,85.71
yolo26m,stage2,class_oral_cancer,auc,0.99
yolo26m,stage2,class_variation,precision,82.5
yolo26m,stage2,class_variation,sensitivity,91.67
yolo26m,stage2,class_variation,specificity,75.86
yolo26m,stage2,class_variation,f1_score,86.84
yolo26m,stage2,class_variation,auc,0.91
yolo26m,two_stage_e2e,overall,accuracy,91.7
yolo26m,two_stage_e2e,macro,precision,80.57
yolo26m,two_stage_e2e,macro,sensitivity,65.28
yolo26m,two_stage_e2e,macro,specificity,90.52
yolo26m,two_stage_e2e,macro,f1_score,70.1
yolo26m,two_stage_e2e,macro,auc,0.83
yolo26m,two_stage_e2e,micro,precision,91.7
yolo26m,two_stage_e2e,micro,sensitivity,91.7
yolo26m,two_stage_e2e,micro,specificity,91.7
yolo26m,two_stage_e2e,micro,f1_score,91.7
yolo26m,two_stage_e2e,class_normal,precision,95.0
yolo26m,two_stage_e2e,class_normal,sensitivity,97.44
yolo26m,two_stage_e2e,class_normal,specificity,66.15
yolo26m,two_stage_e2e,class_normal,f1_score,96.2
yolo26m,two_stage_e2e,class_normal,auc,0.82
yolo26m,two_stage_e2e,class_variation,precision,65.22
yolo26m,two_stage_e2e,class_variation,sensitivity,41.67
yolo26m,two_stage_e2e,class_variation,specificity,98.25
yolo26m,two_stage_e2e,class_variation,f1_score,50.85
yolo26m,two_stage_e2e,class_variation,auc,0.73
yolo26m,two_stage_e2e,class_opmd,precision,62.07
yolo26m,two_stage_e2e,class_opmd,sensitivity,72.0
yolo26m,two_stage_e2e,class_opmd,specificity,97.65
yolo26m,two_stage_e2e,class_opmd,f1_score,66.67
yolo26m,two_stage_e2e,class_opmd,auc,0.92
yolo26m,two_stage_e2e,class_oral_cancer,precision,100.0
yolo26m,two_stage_e2e,class_oral_cancer,sensitivity,50.0
yolo26m,two_stage_e2e,class_oral_cancer,specificity,100.0
yolo26m,two_stage_e2e,class_oral_cancer,f1_score,66.67
yolo26m,two_stage_e2e,class_oral_cancer,auc,0.85
yolov11m,binary,overall,accuracy,91.9
yolov11m,binary,macro,precision,83.22
yolov11m,binary,macro,sensitivity,79.67
yolov11m,binary,macro,specificity,79.67
yolov11m,binary,macro,f1_score,81.3
yolov11m,binary,macro,auc,0.88
yolov11m,binary,micro,precision,91.9
yolov11m,binary,micro,sensitivity,91.9
yolov11m,binary,micro,specificity,91.9
yolov11m,binary,micro,f1_score,91.9
yolov11m,binary,class_abnormal,precision,71.93
yolov11m,binary,class_abnormal,sensitivity,63.08
yolov11m,binary,class_abnormal,specificity,96.27
yolov11m,binary,class_abnormal,f1_score,67.21
yolov11m,binary,class_abnormal,auc,0.88
yolov11m,binary,class_normal,precision,94.51
yolov11m,binary,class_normal,sensitivity,96.27
yolov11m,binary,class_normal,specificity,63.08
yolov11m,binary,class_normal,f1_score,95.38
yolov11m,binary,class_normal,auc,0.88
yolov11m,one_stage,overall,accuracy,90.08
yolov11m,one_stage,macro,precision,77.86
yolov11m,one_stage,macro,sensitivity,52.94
yolov11m,one_stage,macro,specificity,87.11
yolov11m,one_stage,macro,f1_score,58.8
yolov11m,one_stage,macro,auc,0.92
yolov11m,one_stage,micro,precision,90.08
yolov11m,one_stage,micro,sensitivity,90.08
yolov11m,one_stage,micro,specificity,90.08
yolov11m,one_stage,micro,f1_score,90.08
yolov11m,one_stage,class_normal,precision,93.1
yolov11m,one_stage,class_normal,sensitivity,97.44
yolov11m,one_stage,class_normal,specificity,52.31
yolov11m,one_stage,class_normal,f1_score,95.22
yolov11m,one_stage,class_normal,auc,0.89
yolov11m,one_stage,class_opmd,precision,58.33
yolov11m,one_stage,class_opmd,sensitivity,56.0
yolov11m,one_stage,class_opmd,specificity,97.87
yolov11m,one_stage,class_opmd,f1_score,57.14
yolov11m,one_stage,class_opmd,auc,0.95
yolov11m,one_stage,class_oral_cancer,precision,100.0
yolov11m,one_stage,class_oral_cancer,sensitivity,25.0
yolov11m,one_stage,class_oral_cancer,specificity,100.0
yolov11m,one_stage,class_oral_cancer,f1_score,40.0
yolov11m,one_stage,class_oral_cancer,auc,0.99
yolov11m,one_stage,class_variation,precision,60.0
yolov11m,one_stage,class_variation,sensitivity,33.33
yolov11m,one_stage,class_variation,specificity,98.25
yolov11m,one_stage,class_variation,f1_score,42.86
yolov11m,one_stage,class_variation,auc,0.83
yolov11m,stage2,overall,accuracy,83.08
yolov11m,stage2,macro,precision,87.83
yolov11m,stage2,macro,sensitivity,80.78
yolov11m,stage2,macro,specificity,89.25
yolov11m,stage2,macro,f1_score,83.66
yolov11m,stage2,macro,auc,0.92
yolov11m,stage2,micro,precision,83.08
yolov11m,stage2,micro,sensitivity,83.08
yolov11m,stage2,micro,specificity,83.08
yolov11m,stage2,micro,f1_score,83.08
yolov11m,stage2,class_opmd,precision,77.78
yolov11m,stage2,class_opmd,sensitivity,84.0
yolov11m,stage2,class_opmd,specificity,85.0
yolov11m,stage2,class_opmd,f1_score,80.77
yolov11m,stage2,class_opmd,auc,0.89
yolov11m,stage2,class_oral_cancer,precision,100.0
yolov11m,stage2,class_oral_cancer,sensitivity,75.0
yolov11m,stage2,class_oral_cancer,specificity,100.0
yolov11m,stage2,class_oral_cancer,f1_score,85.71
yolov11m,stage2,class_oral_cancer,auc,1.0
yolov11m,stage2,class_variation,precision,85.71
yolov11m,stage2,class_variation,sensitivity,83.33
yolov11m,stage2,class_variation,specificity,82.76
yolov11m,stage2,class_variation,f1_score,84.51
yolov11m,stage2,class_variation,auc,0.89
yolov11m,two_stage_e2e,overall,accuracy,89.88
yolov11m,two_stage_e2e,macro,precision,74.6
yolov11m,two_stage_e2e,macro,sensitivity,62.21
yolov11m,two_stage_e2e,macro,specificity,89.37
yolov11m,two_stage_e2e,macro,f1_score,65.75
yolov11m,two_stage_e2e,macro,auc,0.81
yolov11m,two_stage_e2e,micro,precision,89.88
yolov11m,two_stage_e2e,micro,sensitivity,89.88
yolov11m,two_stage_e2e,micro,specificity,89.88
yolov11m,two_stage_e2e,micro,f1_score,89.88
yolov11m,two_stage_e2e,class_normal,precision,94.51
yolov11m,two_stage_e2e,class_normal,sensitivity,96.27
yolov11m,two_stage_e2e,class_normal,specificity,63.08
yolov11m,two_stage_e2e,class_normal,f1_score,95.38
yolov11m,two_stage_e2e,class_normal,auc,0.8
yolov11m,two_stage_e2e,class_variation,precision,45.83
yolov11m,two_stage_e2e,class_variation,sensitivity,30.56
yolov11m,two_stage_e2e,class_variation,specificity,97.16
yolov11m,two_stage_e2e,class_variation,f1_score,36.67
yolov11m,two_stage_e2e,class_variation,auc,0.7
yolov11m,two_stage_e2e,class_opmd,precision,58.06
yolov11m,two_stage_e2e,class_opmd,sensitivity,72.0
yolov11m,two_stage_e2e,class_opmd,specificity,97.23
yolov11m,two_stage_e2e,class_opmd,f1_score,64.29
yolov11m,two_stage_e2e,class_opmd,auc,0.9
yolov11m,two_stage_e2e,class_oral_cancer,precision,100.0
yolov11m,two_stage_e2e,class_oral_cancer,sensitivity,50.0
yolov11m,two_stage_e2e,class_oral_cancer,specificity,100.0
yolov11m,two_stage_e2e,class_oral_cancer,f1_score,66.67
yolov11m,two_stage_e2e,class_oral_cancer,auc,0.85
yolov8m,binary,overall,accuracy,92.11
yolov8m,binary,macro,precision,84.2
yolov8m,binary,macro,sensitivity,79.14
yolov8m,binary,macro,specificity,79.14
yolov8m,binary,macro,f1_score,81.37
yolov8m,binary,macro,auc,0.91
yolov8m,binary,micro,precision,92.11
yolov8m,binary,micro,sensitivity,92.11
yolov8m,binary,micro,specificity,92.11
yolov8m,binary,micro,f1_score,92.11
yolov8m,binary,class_abnormal,precision,74.07
yolov8m,binary,class_abnormal,sensitivity,61.54
yolov8m,binary,class_abnormal,specificity,96.74
yolov8m,binary,class_abnormal,f1_score,67.23
yolov8m,binary,class_abnormal,auc,0.91
yolov8m,binary,class_normal,precision,94.32
yolov8m,binary,class_normal,sensitivity,96.74
yolov8m,binary,class_normal,specificity,61.54
yolov8m,binary,class_normal,f1_score,95.51
yolov8m,binary,class_normal,auc,0.91
yolov8m,one_stage,overall,accuracy,91.3
yolov8m,one_stage,macro,precision,81.41
yolov8m,one_stage,macro,sensitivity,57.06
yolov8m,one_stage,macro,specificity,89.42
yolov8m,one_stage,macro,f1_score,61.36
yolov8m,one_stage,macro,auc,0.92
yolov8m,one_stage,micro,precision,91.3
yolov8m,one_stage,micro,sensitivity,91.3
yolov8m,one_stage,micro,specificity,91.3
yolov8m,one_stage,micro,f1_score,91.3
yolov8m,one_stage,class_normal,precision,94.38
yolov8m,one_stage,class_normal,sensitivity,97.9
yolov8m,one_stage,class_normal,specificity,61.54
yolov8m,one_stage,class_normal,f1_score,96.11
