task,metric_group,metric,yolov8m,yolov11m,yolo26m
binary,overall,accuracy,92.11,91.9,93.32
binary,macro,auc,0.91,0.88,0.87
binary,macro,f1_score,81.37,81.3,84.24
binary,macro,precision,84.2,83.22,87.31
binary,macro,sensitivity,79.14,79.67,81.79
binary,macro,specificity,79.14,79.67,81.79
binary,micro,f1_score,92.11,91.9,93.32
binary,micro,precision,92.11,91.9,93.32
binary,micro,sensitivity,92.11,91.9,93.32
binary,micro,specificity,92.11,91.9,93.32
binary,class_abnormal,auc,0.91,0.88,0.87
binary,class_abnormal,f1_score,67.23,67.21,72.27
binary,class_abnormal,precision,74.07,71.93,79.63
binary,class_abnormal,sensitivity,61.54,63.08,66.15
binary,class_abnormal,specificity,96.74,96.27,97.44
binary,class_normal,auc,0.91,0.88,0.87
binary,class_normal,f1_score,95.51,95.38,96.2
binary,class_normal,precision,94.32,94.51,95.0
binary,class_normal,sensitivity,96.74,96.27,97.44
binary,class_normal,specificity,61.54,63.08,66.15
