task,metric_group,metric,yolov8m,yolov11m,yolo26m
multiclass,overall,accuracy,91.3,90.08,90.69
multiclass,macro,auc,0.92,0.92,0.93
multiclass,macro,f1_score,61.36,58.8,71.46
multiclass,macro,precision,81.41,77.86,77.13
multiclass,macro,sensitivity,57.06,52.94,69.57
multiclass,macro,specificity,89.42,87.11,89.92
multiclass,micro,f1_score,91.3,90.08,90.69
multiclass,micro,precision,91.3,90.08,90.69
multiclass,micro,sensitivity,91.3,90.08,90.69
multiclass,micro,specificity,91.3,90.08,90.69
multiclass,class_normal,auc,0.9,0.89,0.92
multiclass,class_normal,f1_score,96.11,95.22,95.73
multiclass,class_normal,precision,94.38,93.1,94.75
multiclass,class_normal,sensitivity,97.9,97.44,96.74
multiclass,class_normal,specificity,61.54,52.31,64.62
multiclass,class_oc,auc,1.0,0.99,1.0
multiclass,class_oc,f1_score,40.0,40.0,85.71
multiclass,class_oc,precision,100.0,100.0,100.0
multiclass,class_oc,sensitivity,25.0,25.0,75.0
multiclass,class_oc,specificity,100.0,100.0,100.0
multiclass,class_opmd,auc,0.97,0.95,0.97
multiclass,class_opmd,f1_score,63.16,57.14,64.41
multiclass,class_opmd,precision,56.25,58.33,55.88
multiclass,class_opmd,sensitivity,72.0,56.0,76.0
multiclass,class_opmd,specificity,97.01,97.87,96.8
multiclass,class_variation,auc,0.82,0.83,0.83
multiclass,class_variation,f1_score,46.15,42.86,40.0
multiclass,class_variation,precision,75.0,60.0,57.89
multiclass,class_variation,sensitivity,33.33,33.33,30.56
multiclass,class_variation,specificity,99.13,98.25,98.25
